Name,KLF6_A5SS
SNRPE,1
SNRPF,1
SNRPG,1
SNRNP70,1
SNRPC,1
SNRPA1,1
SNRPB2,1
SF3A1,1
SF3A2,1
SF3B2,1
SF3B4,1
PHF5A,1
DHX15,1
DNAJC8,1
DDX46,1
U2SURP,1
BUB3,1
RBM10,1
CDK11A,1
RBM23,1
ELAVL1,1
ILF3,1
SRSF3,1
SRSF9,1
SRSF5,1
SRRM2,1
HNRNPC,1
NCBP1,1
PRPF8,1
SNRNP200,1
PRPF6,1
TXNL4A,1
DDX23,1
LSM5,1
NAA38,1
PRPF3,1
PPIH,1
PRPF31,1
USP39,1
TFIP11,1
PRPF19,1
PLRG1,1
CTNNBL1,1
PQBP1,1
CRNKL1,1
SNIP1,1
RBMX2,1
MFAP1,1
SMU1,1
PPIL2,1
HSPB1,1
CCDC12,1
DDX41,1
SLU7,1
EIF4A3,1
ACIN1,1
SAP18,1
THOC2,1
NOSIP,1
THOC5,1
ZNF207,1
SRSF2,1
PPP1CA,1
DDX5,1
PPP1R8,1
TRA2B,1
HNRNPU,1
HNRNPR,1
HNRNPAB,1
CIRBP,1
WDR77,1
TRA2A,1
HSPA1A,1
HNRNPM,1
DNAJC6,1
DDX3X,1
HNRNPD,1
HNRNPF,1
HNRNPH3,1
PCBP2,1
BAG2,1
C9orf78,1
CCDC130,1
CXorf56,1
FAM50B,1
JUP,1
NKAP,1
TOE1,1
PABPC1,1
RNF113A,1
THRAP3,1
GPKOW,1
KHDRBS3,1
CELF1,1
RBFOX2,1
SRPK1,1
CFAP20,1
CCAR2,1
NSRP1,1